id_fvg,type,top,bottom,created_at,filled
4h_632,BEARISH,187.85,184.95,1743076800000.0,False
4h_658,BEARISH,184.38,160.18,1743451200000.0,False
4h_666,BEARISH,165.92,164.41,1743566400000.0,False
4h_694,BEARISH,141.98,132.84,1743969600000.0,False
4h_696,BEARISH,126.42,125.36,1743998400000.0,False
4h_712,BULLISH,141.67,137.33,1744228800000.0,False
4h_720,BULLISH,134.01,132.61,1744344000000.0,False
4h_729,BULLISH,140.69,140.11,1744473600000.0,False
4h_747,BEARISH,138.93,137.76,1744732800000.0,False
4h_779,BULLISH,140.91,140.54,1745193600000.0,False
4h_780,BULLISH,143.63,143.3,1745208000000.0,False
4h_787,BULLISH,145.99,145.36,1745308800000.0,False
4h_789,BULLISH,150.57,149.53,1745337600000.0,False
4h_814,BULLISH,169.62,168.05,1745697600000.0,False
4h_823,BULLISH,168.96,167.92,1745827200000.0,False
