Timestamp,Event_Type,Close_Price,BB_Width_T0,BB_Expansion_Rate,RSI_T0,Width_T-1,Width_T-2,Width_T-3,Did_Revert_To_Mean,Bars_To_Mean,MAE_To_Mean_%,Did_Touch_Opposite,Bars_To_Opposite,Context_1h_State,Context_1h_Width,Context_1h_RSI,Context_4h_State,Context_4h_Width,Context_4h_RSI
2025-01-30 09:00:00,UPPER_BREAK,305.49,1.848,0.77,61.35,1.891,1.88,2.39,True,13,2.131,True,38,NEAR_UPPER,7.38,70.32,BREAK_UP,8.39,55.32
2025-01-30 13:15:00,UPPER_BREAK,312.46,2.93,0.82,61.86,2.963,3.426,3.579,True,20,2.147,True,21,BREAK_UP,9.03,89.75,BREAK_UP,10.05,58.76
2025-01-30 13:45:00,UPPER_BREAK,314.72,2.94,0.99,64.41,2.621,2.93,2.963,True,18,1.414,True,19,BREAK_UP,9.03,89.75,BREAK_UP,10.05,58.76
2025-01-30 19:45:00,UPPER_BREAK,320.26,1.696,1.25,61.84,1.378,1.35,1.362,True,3,0.674,True,34,NEAR_UPPER,10.9,78.82,BREAK_UP,11.84,63.44
2025-01-31 06:45:00,UPPER_BREAK,322.12,2.799,1.1,72.1,2.557,2.503,2.536,True,6,1.012,True,70,NEAR_UPPER,4.08,56.65,NEAR_UPPER,14.35,74.03
2025-01-31 11:15:00,UPPER_BREAK,325.39,3.529,1.26,65.7,3.024,2.858,2.791,True,28,7.327,True,52,BREAK_UP,3.59,61.8,NEAR_UPPER,15.92,73.56
2025-01-31 15:30:00,UPPER_BREAK,336.76,5.013,0.85,73.64,5.117,5.409,5.864,True,11,3.703,True,35,BREAK_UP,7.82,67.35,BREAK_UP,18.86,74.85
2025-02-01 00:15:00,LOWER_BREAK,329.6,3.096,1.15,39.45,2.744,2.56,2.7,True,50,6.663,True,64,NEUTRAL,10.62,60.92,NEUTRAL,21.64,71.6
2025-02-01 03:30:00,LOWER_BREAK,326.11,2.757,0.85,31.99,2.951,3.256,3.243,True,37,5.664,True,51,NEUTRAL,9.47,49.51,NEUTRAL,21.64,71.6
2025-02-01 08:15:00,LOWER_BREAK,320.92,2.226,0.97,30.99,2.035,2.076,2.3,True,18,4.138,True,32,NEAR_LOWER,7.85,33.98,NEUTRAL,19.16,60.26
2025-02-01 09:30:00,LOWER_BREAK,318.57,2.685,1.06,27.12,2.576,2.649,2.526,True,13,3.431,True,27,NEAR_LOWER,8.66,11.65,NEUTRAL,19.16,60.26
2025-02-01 10:45:00,LOWER_BREAK,313.75,3.75,1.23,18.66,3.239,3.057,3.06,True,8,1.947,True,22,BREAK_DOWN,9.83,10.95,NEUTRAL,19.16,60.26
2025-02-01 19:00:00,LOWER_BREAK,310.0,2.199,1.32,33.35,1.747,1.61,1.66,True,23,4.839,True,146,NEAR_LOWER,8.77,25.14,NEUTRAL,18.05,46.74
2025-02-02 02:45:00,LOWER_BREAK,292.72,3.912,1.01,41.66,3.383,3.345,3.889,True,11,1.841,True,115,BREAK_DOWN,10.82,22.97,NEAR_LOWER,18.03,29.61
2025-02-02 11:15:00,LOWER_BREAK,287.77,2.378,0.93,38.71,2.345,2.386,2.562,True,10,1.501,True,81,NEAR_LOWER,11.7,31.63,NEAR_LOWER,19.63,30.62
2025-02-02 16:00:00,LOWER_BREAK,282.0,2.601,0.86,41.13,2.571,2.854,3.028,True,16,8.482,True,62,NEAR_LOWER,8.9,32.86,NEAR_LOWER,21.14,28.21
2025-02-02 22:30:00,LOWER_BREAK,253.15,6.534,1.07,40.48,5.222,5.346,6.092,True,27,23.907,True,36,NEAR_LOWER,18.3,20.85,BREAK_DOWN,29.28,4.09
2025-02-02 23:00:00,LOWER_BREAK,252.42,7.876,1.51,27.2,6.882,6.534,5.222,True,25,23.687,True,34,NEAR_LOWER,18.3,20.85,BREAK_DOWN,29.28,4.09
2025-02-03 00:30:00,LOWER_BREAK,242.83,11.566,1.24,31.05,10.37,9.748,9.331,True,19,20.673,True,28,NEAR_LOWER,21.61,19.23,BREAK_DOWN,37.34,3.08
2025-02-03 01:30:00,LOWER_BREAK,237.61,12.958,1.11,30.03,12.075,11.656,11.657,True,15,18.93,True,24,BREAK_DOWN,28.5,13.93,BREAK_DOWN,37.34,3.08
2025-02-03 07:30:00,UPPER_BREAK,241.73,10.405,1.15,74.18,9.788,9.382,9.017,True,11,1.874,True,23,NEUTRAL,36.75,40.4,NEAR_LOWER,41.36,15.13
2025-02-03 13:15:00,LOWER_BREAK,233.3,4.116,1.09,37.76,3.401,3.265,3.784,True,5,1.907,True,5,NEUTRAL,25.59,39.43,NEUTRAL,46.45,28.55
2025-02-03 14:00:00,LOWER_BREAK,232.16,4.642,1.13,36.42,3.935,3.745,4.116,True,2,1.426,True,2,NEUTRAL,25.59,39.43,NEUTRAL,46.45,28.55
2025-02-03 14:45:00,UPPER_BREAK,250.07,7.163,1.54,59.5,5.842,5.423,4.642,True,38,13.96,True,57,NEUTRAL,24.77,50.5,NEUTRAL,46.45,28.55
2025-02-03 15:15:00,UPPER_BREAK,255.62,9.556,1.64,65.4,7.579,7.163,5.842,True,36,11.486,True,55,NEAR_UPPER,23.75,74.93,NEUTRAL,46.45,28.55
2025-02-03 19:30:00,UPPER_BREAK,275.05,9.917,0.68,75.7,9.608,12.525,14.501,True,19,3.61,True,38,BREAK_UP,25.88,77.25,NEUTRAL,45.89,37.25
2025-02-03 22:15:00,UPPER_BREAK,284.71,12.231,1.22,73.56,11.359,10.803,10.03,True,8,0.095,True,27,NEAR_UPPER,27.73,73.67,NEUTRAL,43.87,37.28
2025-02-04 05:00:00,LOWER_BREAK,255.77,6.215,1.33,22.82,4.521,4.532,4.679,True,17,2.678,True,22,NEUTRAL,22.49,59.27,NEUTRAL,40.1,35.67
2025-02-04 10:30:00,UPPER_BREAK,260.64,3.904,1.29,61.93,3.272,3.039,3.019,True,18,4.451,True,38,NEUTRAL,14.17,44.62,NEUTRAL,37.88,41.2
2025-02-04 11:00:00,UPPER_BREAK,262.94,4.979,1.52,70.65,4.168,3.904,3.272,True,16,3.537,True,36,NEUTRAL,14.17,44.62,NEUTRAL,37.88,41.2
2025-02-04 13:00:00,UPPER_BREAK,269.1,7.753,1.11,79.69,7.064,7.155,6.98,True,8,1.167,True,28,NEUTRAL,14.09,35.41,NEUTRAL,35.04,42.0
2025-02-04 19:00:00,UPPER_BREAK,273.02,3.867,1.16,66.18,3.49,3.433,3.333,True,3,0.626,True,4,NEUTRAL,11.07,54.37,NEUTRAL,32.57,42.98
2025-02-04 20:00:00,LOWER_BREAK,257.82,5.463,1.33,39.7,4.562,4.189,4.104,True,9,2.327,True,39,NEUTRAL,10.09,61.13,NEUTRAL,32.57,42.98
2025-02-05 05:45:00,UPPER_BREAK,273.54,2.783,1.29,65.67,1.843,1.867,2.163,True,15,1.492,True,36,NEAR_UPPER,6.28,58.91,NEUTRAL,24.5,55.14
2025-02-05 07:15:00,UPPER_BREAK,273.89,3.87,1.25,67.62,3.4,3.225,3.106,True,9,1.362,True,30,NEAR_UPPER,6.21,56.77,NEUTRAL,24.5,55.14
2025-02-05 11:00:00,UPPER_BREAK,279.62,3.55,1.02,62.87,2.985,2.825,3.473,True,7,1.345,True,15,NEAR_UPPER,7.04,69.85,NEUTRAL,23.72,68.71
2025-02-05 14:45:00,LOWER_BREAK,270.28,3.281,0.98,28.89,3.01,3.305,3.357,True,27,5.217,True,42,NEUTRAL,8.42,52.75,NEUTRAL,22.08,59.58
2025-02-05 16:00:00,LOWER_BREAK,266.32,5.25,1.44,22.92,4.576,4.09,3.655,True,22,3.807,True,37,NEUTRAL,7.95,52.16,NEUTRAL,22.08,59.58
