Trade_ID,Strategy,Side,Entry_Time,Exit_Time,PnL_Pct,Exit_Reason,Rem_Qty,Capital_After,Closed_Qty
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.612800,1970-01-01 00:28:58.623600,0.0,,0.9808661178984588,1253.64498528602,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.623600,1970-01-01 00:28:58.628100,0.0,,0.9808661178984588,1253.64498528602,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.595700,1970-01-01 00:28:58.628100,-0.07447578436742047,TP1_MID_BAND,0.0,1244.308365926274,0.4904330589492294
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.610100,1970-01-01 00:28:58.628100,-0.017740022974024616,TP1_MID_BAND,0.0,1242.0843968422496,0.46453662329492723
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.611000,1970-01-01 00:28:58.628100,0.0014270132703144303,TP1_MID_BAND,0.0,1242.2632936452762,0.45578803318888206
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.620900,1970-01-01 00:28:58.628100,0.03530785711776879,TP1_MID_BAND,0.0,1246.689645446965,0.4403234818889467
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.567800,1970-01-01 00:28:58.673100,0.011500149667764734,TRAILING_STOP,0.0,1248.281585584324,0.5176117243296321
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.610100,1970-01-01 00:28:58.673100,0.020417237929373368,TRAILING_STOP,0.0,1250.841182378679,0.46453662329492723
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.611000,1970-01-01 00:28:58.674000,0.02163243046718774,TRAILING_STOP,0.0,1253.5531211761527,0.45578803318888206
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.620900,1970-01-01 00:28:58.674000,0.054827719433809693,TRAILING_STOP,0.0,1260.4265707284392,0.4403234818889467
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.674000,1970-01-01 00:28:58.681200,0.018346339650687517,TP1_MID_BAND,0.0,1262.7389921255726,0.4683859422996801
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.695600,1970-01-01 00:28:58.698300,0.021340927404585784,TP1_MID_BAND,0.0,1265.4337942417617,0.4625078719967668
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.674000,1970-01-01 00:28:58.708200,0.008509847640282498,TRAILING_STOP,0.0,1266.506398049628,0.4683859422996801
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.695600,1970-01-01 00:28:58.708200,0.02274558640392638,TRAILING_STOP,0.0,1269.378571934728,0.4625078719967668
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.734300,1970-01-01 00:28:58.747800,0.007260364114937657,TP1_MID_BAND,0.0,1270.3001869979225,0.4640559230586853
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.753200,1970-01-01 00:28:58.765800,0.0,,0.4640559230586853,1270.3001869979225,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.809900,1970-01-01 00:28:58.821600,0.0034387921550777696,TP1_MID_BAND,0.0,1270.7370168296868,0.48188619058378757
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.823400,1970-01-01 00:28:58.825200,0.009346812988574739,TP1_MID_BAND,0.0,1271.9247509550835,0.47757705082294305
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.896300,1970-01-01 00:28:58.902600,0.009923030180271308,TP1_MID_BAND,0.0,1273.1868857241595,0.5152622041543785
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.809900,1970-01-01 00:28:58.926000,0.04131102765448964,TRAILING_STOP,0.0,1278.434626339617,0.48188619058378757
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.926000,1970-01-01 00:28:58.928700,0.0,,0.5152622041543785,1278.434626339617,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.734300,1970-01-01 00:28:58.928700,0.07030050449660019,TRAILING_STOP,0.0,1287.3584217400355,0.4640559230586853
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.926000,1970-01-01 00:28:58.928700,0.0,,0.5152622041543785,1287.3584217400355,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.823400,1970-01-01 00:28:58.928700,0.04423481659651226,TRAILING_STOP,0.0,1292.9795036282214,0.47757705082294305
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:58.935000,1970-01-01 00:28:58.938600,0.0,,0.5152622041543785,1292.9795036282214,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.935000,1970-01-01 00:28:58.940400,0.005100563468461361,TP1_MID_BAND,0.0,1293.638996030389,0.5059397024683916
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.936800,1970-01-01 00:28:58.940400,0.017290225331426587,TP1_MID_BAND,0.0,1295.8745867270538,0.4997408509365831
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.036700,1970-01-01 00:28:59.049300,0.0019647724889913084,TP1_MID_BAND,0.0,1296.1291966007723,0.5434575746391503
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.064600,1970-01-01 00:28:59.070900,0.0,,0.5434575746391503,1296.1291966007723,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.595700,1970-01-01 00:28:59.070900,0.04386717180544451,TRAILING_STOP,0.0,1301.677709548114,0.4904330589492294
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.064600,1970-01-01 00:28:59.070900,0.0,,0.5434575746391503,1301.677709548114,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.896300,1970-01-01 00:28:59.070900,0.013321249315428128,TRAILING_STOP,0.0,1303.3931392633942,0.5152622041543785
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.064600,1970-01-01 00:28:59.070900,0.0,,0.5434575746391503,1303.3931392633942,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.935000,1970-01-01 00:28:59.070900,0.04675861989494901,TRAILING_STOP,0.0,1309.5128799367355,0.5059397024683916
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.064600,1970-01-01 00:28:59.070900,0.0,,0.5434575746391503,1309.5128799367355,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:58.936800,1970-01-01 00:28:59.070900,0.058437880803746074,TRAILING_STOP,0.0,1317.1611954093057,0.4997408509365831
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.071800,1970-01-01 00:28:59.077200,0.0,,0.5434575746391503,1317.1611954093057,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.070900,1970-01-01 00:28:59.081700,0.0006549332900767183,TP1_MID_BAND,0.0,1317.2474606808328,0.5341502880933151
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.071800,1970-01-01 00:28:59.081700,0.022341902721574294,TP1_MID_BAND,0.0,1320.1902494104795,0.5225585953381361
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.073600,1970-01-01 00:28:59.081700,0.008415821664252473,TP1_MID_BAND,0.0,1321.2987487828434,0.5300020905397174
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.070900,1970-01-01 00:28:59.145600,0.004906930532462825,TRAILING_STOP,0.0,1321.9450706314362,0.5341502880933151
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.071800,1970-01-01 00:28:59.145600,0.02650162659684205,TRAILING_STOP,0.0,1325.435762048295,0.5225585953381361
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.073600,1970-01-01 00:28:59.145600,0.012634798004184832,TRAILING_STOP,0.0,1327.0999686125897,0.5300020905397174
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.174400,1970-01-01 00:28:59.183400,0.011433868974042055,TP1_MID_BAND,0.0,1328.617357328247,0.5291678171428644
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.195100,1970-01-01 00:28:59.197800,0.021184375982395438,TP1_MID_BAND,0.0,1331.4319502916849,0.522091070940053
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.213100,1970-01-01 00:28:59.223900,0.0,,0.5291678171428644,1331.4319502916849,
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.233800,1970-01-01 00:28:59.252700,0.0,,0.5291678171428644,1331.4319502916849,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.233800,1970-01-01 00:28:59.252700,0.004261341754602324,TP1_MID_BAND,0.0,1331.9993189480037,0.5127597436230782
HEDGE_010028,SHADOW_HEDGE,LONG,1970-01-01 00:28:59.253600,1970-01-01 00:28:59.275200,0.0,,0.522091070940053,1331.9993189480037,
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.346300,1970-01-01 00:28:59.351700,0.004415983606557438,TP1_MID_BAND,0.0,1332.5875276636457,0.5459013602245918
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.174400,1970-01-01 00:28:59.380500,0.003827903823916343,TRAILING_STOP,0.0,1333.095528768103,0.5291678171428644
SHADOW_S_010028,SHADOW_V5,SHORT,1970-01-01 00:28:59.195100,1970-01-01 00:28:59.380500,0.018272555800062786,TRAILING_STOP,0.0,1335.5232522479741,0.522091070940053
