Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Fibo_Target,SL,Peak_Price,status
FL_020600,Flash_Vol_Breakout,LONG,2025-07-12 02:06:00,300.78,2025-07-12 04:17:00,299.43,-0.004488330341112993,SL_FLASH,303.18624,299.57687999999996,302.09,CLOSED
FL_083100,Flash_Vol_Breakout,LONG,2025-07-12 08:31:00,303.91,2025-07-12 09:24:00,306.38,0.008127406139975552,TP_FLASH,306.34128000000004,305.71734,306.38,CLOSED
FL_134300,Flash_Vol_Breakout,SHORT,2025-07-12 13:43:00,295.87,2025-07-12 13:47:00,297.11,-0.004191029844188357,SL_FLASH,293.50304,297.05348,295.87,CLOSED
FL_141000,Flash_Vol_Breakout,LONG,2025-07-12 14:10:00,299.34,2025-07-12 14:35:00,298.08,-0.004209260372820174,SL_FLASH,301.73472,298.14264,299.93,CLOSED
FL_190300,Flash_Vol_Breakout,LONG,2025-07-12 19:03:00,300.77,2025-07-12 19:29:00,299.26,-0.005020447518037008,SL_FLASH,303.17616,299.56692,301.2,CLOSED
FL_195900,Flash_Vol_Breakout,LONG,2025-07-12 19:59:00,301.1,2025-07-12 20:20:00,299.72,-0.004583194951843226,SL_FLASH,303.5088,299.8956,301.4,CLOSED
FL_213700,Flash_Vol_Breakout,LONG,2025-07-12 21:37:00,302.07,2025-07-12 22:17:00,300.67,-0.004634687324130094,SL_FLASH,304.48656,300.86172,302.78,CLOSED
FL_223300,Flash_Vol_Breakout,LONG,2025-07-12 22:33:00,302.06,2025-07-12 22:38:00,300.58,-0.004899688803549024,SL_FLASH,304.47648,300.85176,302.06,CLOSED
FL_234900,Flash_Vol_Breakout,LONG,2025-07-12 23:49:00,302.14,2025-07-13 00:06:00,300.67,-0.004865294234460749,SL_FLASH,304.55712,300.93144,302.15,CLOSED
FL_025500,Flash_Vol_Breakout,LONG,2025-07-13 02:55:00,302.53,2025-07-13 03:06:00,301.11,-0.00469374938022662,SL_FLASH,304.95023999999995,301.31987999999996,302.53,CLOSED
FL_060700,Flash_Vol_Breakout,LONG,2025-07-13 06:07:00,302.01,2025-07-13 06:40:00,302.99,0.003244925664713149,SL_FLASH,304.42608,303.08262,303.69,CLOSED
FL_084800,Flash_Vol_Breakout,SHORT,2025-07-13 08:48:00,302.77,2025-07-13 08:59:00,304.19,-0.004690028734683146,SL_FLASH,300.34783999999996,303.98107999999996,302.77,CLOSED
FL_092300,Flash_Vol_Breakout,LONG,2025-07-13 09:23:00,304.88,2025-07-13 09:37:00,303.49,-0.004559170821306699,SL_FLASH,307.31904,303.66048,305.11,CLOSED
FL_101800,Flash_Vol_Breakout,SHORT,2025-07-13 10:18:00,303.59,2025-07-13 10:58:00,301.12,0.008135972858130936,TP_FLASH,301.16128,301.8024,301.12,CLOSED
FL_162000,Flash_Vol_Breakout,LONG,2025-07-13 16:20:00,312.56,2025-07-13 16:49:00,311.18,-0.004415152290760159,SL_FLASH,315.06048,311.30976,313.71,CLOSED
FL_193200,Flash_Vol_Breakout,LONG,2025-07-13 19:32:00,314.48,2025-07-13 19:35:00,312.88,-0.005087763927753825,SL_FLASH,316.99584000000004,313.22208,314.48,CLOSED
FL_200000,Flash_Vol_Breakout,SHORT,2025-07-13 20:00:00,311.11,2025-07-13 20:35:00,312.53,-0.004564302015364209,SL_FLASH,308.62112,312.35444,310.14,CLOSED
FL_213700,Flash_Vol_Breakout,SHORT,2025-07-13 21:37:00,307.56,2025-07-13 21:38:00,305.0,0.00832357913902979,TP_FLASH,305.09952,308.79024,305.0,CLOSED
FL_213900,Flash_Vol_Breakout,SHORT,2025-07-13 21:39:00,306.25,2025-07-13 21:49:00,307.81,-0.005093877551020415,SL_FLASH,303.8,307.475,305.82,CLOSED
FL_031400,Flash_Vol_Breakout,LONG,2025-07-14 03:14:00,319.16,2025-07-14 03:28:00,321.86,0.008459706730166652,TP_FLASH,321.71328000000005,320.68734,321.86,CLOSED
FL_054400,Flash_Vol_Breakout,SHORT,2025-07-14 05:44:00,322.56,2025-07-14 05:51:00,321.5,0.0032862103174603244,SL_FLASH,319.97952,321.46164,320.82,CLOSED
FL_082100,Flash_Vol_Breakout,SHORT,2025-07-14 08:21:00,320.43,2025-07-14 08:28:00,321.83,-0.004369128982929118,SL_FLASH,317.86656,321.71172,320.13,CLOSED
FL_094300,Flash_Vol_Breakout,LONG,2025-07-14 09:43:00,326.72,2025-07-14 09:55:00,324.89,-0.005601126346719028,SL_FLASH,329.33376000000004,325.41312000000005,327.4,CLOSED
FL_133500,Flash_Vol_Breakout,SHORT,2025-07-14 13:35:00,323.26,2025-07-14 13:43:00,324.6,-0.004145270061251104,SL_FLASH,320.67392,324.55304,323.26,CLOSED
FL_154500,Flash_Vol_Breakout,SHORT,2025-07-14 15:45:00,319.86,2025-07-14 15:53:00,317.13,0.008534984055524348,TP_FLASH,317.30112,318.4356,317.13,CLOSED
FL_200500,Flash_Vol_Breakout,SHORT,2025-07-14 20:05:00,312.28,2025-07-14 20:27:00,313.58,-0.0041629307032151,SL_FLASH,309.78175999999996,313.52912,311.15,CLOSED
FL_030000,Flash_Vol_Breakout,SHORT,2025-07-15 03:00:00,308.91,2025-07-15 03:11:00,306.42,0.008060600174808225,TP_FLASH,306.43872000000005,307.26329999999996,306.42,CLOSED
FL_055300,Flash_Vol_Breakout,LONG,2025-07-15 05:53:00,312.12,2025-07-15 06:05:00,314.66,0.008137895681148342,TP_FLASH,314.61696,313.40193999999997,314.66,CLOSED
FL_060700,Flash_Vol_Breakout,LONG,2025-07-15 06:07:00,316.41,2025-07-15 06:51:00,315.13,-0.004045384153471854,SL_FLASH,318.94128,315.14436,317.5,CLOSED
FL_074200,Flash_Vol_Breakout,SHORT,2025-07-15 07:42:00,314.49,2025-07-15 07:50:00,312.9,0.00505580463607756,SL_FLASH,311.97408,312.75426,312.13,CLOSED
FL_085500,Flash_Vol_Breakout,SHORT,2025-07-15 08:55:00,312.79,2025-07-15 09:09:00,314.11,-0.004220083762268592,SL_FLASH,310.28768,314.04116000000005,312.79,CLOSED
FL_123000,Flash_Vol_Breakout,LONG,2025-07-15 12:30:00,312.3,2025-07-15 12:36:00,313.68,0.0044188280499519545,SL_FLASH,314.7984,313.8211,314.45,CLOSED
