Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
SN_091109,Sniper_1H_1m,LONG,2025-04-09 11:09:00,126.82,2025-04-09 11:34:00,125.82,-0.007885191610156127,SL_SNIPER,NearLevel:126.31|Dist:0.0017,129.10276,126.05908,126.82,CLOSED
SN_091140,Sniper_1H_1m,LONG,2025-04-09 11:40:00,125.5,2025-04-09 12:31:00,124.69,-0.006454183266932289,SL_SNIPER,NearLevel:126.31|Dist:0.0017,127.759,124.747,125.5,CLOSED
SN_091233,Sniper_1H_1m,LONG,2025-04-09 12:33:00,124.82,2025-04-09 13:00:00,127.18,0.018907226406024786,TP_SNIPER,NearLevel:126.69|Dist:0.0003,127.06676,124.07108,124.82,CLOSED
SN_091401,Sniper_1H_1m,SHORT,2025-04-09 14:01:00,129.83,2025-04-09 14:59:00,127.29,0.019564045289994655,TP_SNIPER,NearLevel:127.39|Dist:0.0008,127.49306000000001,130.60898,129.83,CLOSED
SN_100500,Sniper_1H_1m,SHORT,2025-04-10 05:00:00,139.5,2025-04-10 05:26:00,140.35,-0.006093189964157666,SL_SNIPER,NearLevel:140.19|Dist:0.0014,136.989,140.337,139.5,CLOSED
SN_100540,Sniper_1H_1m,LONG,2025-04-10 05:40:00,139.59,2025-04-10 07:30:00,138.55,-0.007450390429113776,SL_SNIPER,NearLevel:140.19|Dist:0.0014,142.10262,138.75246,139.59,CLOSED
SN_101020,Sniper_1H_1m,LONG,2025-04-10 10:20:00,137.51,2025-04-10 11:28:00,136.53,-0.007126754417860445,SL_SNIPER,NearLevel:137.18|Dist:0.0027,139.98517999999999,136.68493999999998,137.51,CLOSED
SN_101152,Sniper_1H_1m,LONG,2025-04-10 11:52:00,136.66,2025-04-10 12:30:00,139.85,0.023342602078150136,TP_SNIPER,NearLevel:137.18|Dist:0.0005,139.11988,135.84004,136.66,CLOSED
SN_102339,Sniper_1H_1m,SHORT,2025-04-10 23:39:00,131.99,2025-04-11 01:15:00,132.87,-0.006667171755435983,SL_SNIPER,NearLevel:132.12|Dist:0.0021,129.61418,132.78194000000002,131.99,CLOSED
SN_110116,Sniper_1H_1m,SHORT,2025-04-11 01:16:00,133.15,2025-04-11 01:33:00,134.32,-0.008787082238077263,SL_SNIPER,NearLevel:134.59|Dist:0.0024,130.7533,133.9489,133.15,CLOSED
SN_110212,Sniper_1H_1m,LONG,2025-04-11 02:12:00,134.14,2025-04-11 06:13:00,136.65,0.018711793648427164,TP_SNIPER,NearLevel:134.59|Dist:0.0013,136.55452,133.33515999999997,134.14,CLOSED
SN_110614,Sniper_1H_1m,SHORT,2025-04-11 06:14:00,136.41,2025-04-11 13:13:00,133.94,0.01810717689318964,TP_SNIPER,NearLevel:136.59|Dist:0.0025,133.95462,137.22845999999998,136.41,CLOSED
SN_111423,Sniper_1H_1m,LONG,2025-04-11 14:23:00,134.12,2025-04-11 17:37:00,136.8,0.019982105577095188,TP_SNIPER,NearLevel:134.75|Dist:0.0011,136.53416,133.31528,134.12,CLOSED
SN_111739,Sniper_1H_1m,SHORT,2025-04-11 17:39:00,137.78,2025-04-11 21:21:00,138.93,-0.008346639570329552,SL_SNIPER,NearLevel:137.31|Dist:0.0007,135.29996,138.60668,137.78,CLOSED
SN_112122,Sniper_1H_1m,SHORT,2025-04-11 21:22:00,139.15,2025-04-11 22:16:00,136.61,0.018253683075817404,TP_SNIPER,NearLevel:137.00|Dist:0.0004,136.6453,139.9849,139.15,CLOSED
SN_112218,Sniper_1H_1m,LONG,2025-04-11 22:18:00,136.44,2025-04-11 23:25:00,135.58,-0.00630313690999696,SL_SNIPER,NearLevel:136.26|Dist:0.0013,138.89592,135.62136,136.44,CLOSED
SN_112326,Sniper_1H_1m,LONG,2025-04-11 23:26:00,135.55,2025-04-12 02:49:00,134.49,-0.007819992622648486,SL_SNIPER,NearLevel:136.26|Dist:0.0008,137.9899,134.7367,135.55,CLOSED
SN_120250,Sniper_1H_1m,LONG,2025-04-12 02:50:00,134.39,2025-04-12 06:24:00,136.99,0.019346677580177267,TP_SNIPER,NearLevel:134.49|Dist:0.0023,136.80901999999998,133.58365999999998,134.39,CLOSED
SN_120655,Sniper_1H_1m,LONG,2025-04-12 06:55:00,136.06,2025-04-12 08:06:00,138.61,0.018741731589004933,TP_SNIPER,NearLevel:136.51|Dist:0.0021,138.50908,135.24364,136.06,CLOSED
SN_120916,Sniper_1H_1m,LONG,2025-04-12 09:16:00,138.16,2025-04-12 12:39:00,141.26,0.022437753329473033,TP_SNIPER,NearLevel:139.36|Dist:0.0027,140.64688,137.33104,138.16,CLOSED
SN_130405,Sniper_1H_1m,LONG,2025-04-13 04:05:00,145.35,2025-04-13 04:18:00,144.41,-0.0064671482628138825,SL_SNIPER,NearLevel:143.85|Dist:0.0004,147.9663,144.4779,145.35,CLOSED
SN_130419,Sniper_1H_1m,LONG,2025-04-13 04:19:00,144.24,2025-04-13 05:12:00,143.08,-0.00804215196894063,SL_SNIPER,NearLevel:143.85|Dist:0.0004,146.83632,143.37456,144.24,CLOSED
SN_130803,Sniper_1H_1m,LONG,2025-04-13 08:03:00,143.09,2025-04-13 09:59:00,145.73,0.018449926619609938,TP_SNIPER,NearLevel:144.55|Dist:0.0028,145.66562000000002,142.23146,143.09,CLOSED
