Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Mode,status,Peak_Price,Rem_Qty,SL,TP_Target
ECO_201315,GAMMA,LONG,2025-10-20 13:15:00,230.17,2025-10-20 17:30:00,225.4,-0.02072381283399219,SL_HIT,GAMMA_NORMAL,CLOSED,230.17,1.0,225.5666,238.22594999999995
ECO_200800,GAMMA,SHORT,2025-10-20 08:00:00,233.28,2025-10-20 18:15:00,226.7,0.028206447187928724,SL_HIT,GAMMA_NORMAL,CLOSED,233.28,1.0,226.527,225.1152
ECO_201730,GAMMA,LONG,2025-10-20 17:30:00,225.4,2025-10-20 21:15:00,228.99,0.015927240461401967,SL_HIT,GAMMA_NORMAL,CLOSED,225.4,1.0,229.37735,233.289
ECO_201815,GAMMA,LONG,2025-10-20 18:15:00,226.7,2025-10-20 21:15:00,228.99,0.010101455668284166,SL_HIT,GAMMA_NORMAL,CLOSED,226.7,1.0,229.37735,234.63449999999997
ECO_210200,GAMMA,LONG,2025-10-21 02:00:00,225.39,2025-10-21 04:30:00,219.94,-0.02418030968543409,SL_HIT,GAMMA_NORMAL,CLOSED,225.39,1.0,220.88219999999998,233.27864999999997
ECO_210215,GAMMA,LONG,2025-10-21 02:15:00,224.8,2025-10-21 04:30:00,219.94,-0.021619217081850592,SL_HIT,GAMMA_NORMAL,CLOSED,224.8,1.0,220.304,232.668
ECO_210445,GAMMA,SHORT,2025-10-21 04:45:00,219.18,2025-10-21 10:45:00,222.71,-0.016105484077014332,SL_HIT,GAMMA_HEDGE,CLOSED,219.18,1.0,222.46769999999998,211.5087
ECO_210430,GAMMA,SHORT,2025-10-21 04:30:00,219.94,2025-10-21 12:30:00,223.78,-0.01745930708375013,SL_HIT,GAMMA_HEDGE,CLOSED,219.94,1.0,223.23909999999998,212.2421
ECO_211230,GAMMA,SHORT,2025-10-21 12:30:00,223.78,2025-10-21 14:45:00,232.86,-0.04057556528733583,SL_HIT,GAMMA_NORMAL,CLOSED,223.78,1.0,228.25560000000002,215.9477
ECO_211600,GAMMA,SHORT,2025-10-21 16:00:00,236.57,2025-10-21 17:30:00,232.07,0.019021853996702878,SL_HIT,GAMMA_NORMAL,CLOSED,236.57,1.0,232.00424999999996,228.29004999999998
ECO_211615,GAMMA,SHORT,2025-10-21 16:15:00,236.08,2025-10-21 17:30:00,232.07,0.01698576753642841,SL_HIT,GAMMA_NORMAL,CLOSED,236.08,1.0,232.00424999999996,227.8172
ECO_211930,GAMMA,LONG,2025-10-21 19:30:00,230.5,2025-10-21 21:15:00,224.59,-0.025639913232104107,SL_HIT,GAMMA_NORMAL,CLOSED,230.5,1.0,225.89,238.5675
ECO_211945,GAMMA,LONG,2025-10-21 19:45:00,229.45,2025-10-21 21:15:00,224.59,-0.02118108520374803,SL_HIT,GAMMA_NORMAL,CLOSED,229.45,1.0,224.861,237.48074999999997
