Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,Structure_Context,Fibo_Target,SL,Peak_Price,status
TH_240600,Gamma_Hybrid,LONG,2025-04-24 06:00:00,164.29,2025-04-24 08:15:00,160.29,-0.02434719094284497,SL_ATR_DYNAMIC,RSI_Reversal,175.99,160.42,165.42,CLOSED
TH_241515,Gamma_Hybrid,SHORT,2025-04-24 15:15:00,165.96,2025-04-26 01:30:00,171.97,-0.03621354543263431,SL_ATR_DYNAMIC,RSI_Reversal,150.61,170.4064285714286,163.77,CLOSED
TH_261200,Gamma_Hybrid,LONG,2025-04-26 12:00:00,166.97,2025-04-28 01:30:00,162.08,-0.02928669820925907,SL_ATR_DYNAMIC,RSI_Reversal,179.26,163.19,178.87,CLOSED
TH_280145,Gamma_Hybrid,LONG,2025-04-28 01:45:00,162.52,2025-04-30 13:00:00,157.94,-0.028181146935761826,SL_ATR_DYNAMIC,RSI_Reversal,177.18,158.60714285714286,174.37,CLOSED
TH_301315,Gamma_Hybrid,LONG,2025-04-30 13:15:00,159.26,2025-05-01 15:30:00,176.22,0.10649252794173056,TRAILING_STOP_SMART,RSI_Reversal,179.53,155.63428571428568,178.95,CLOSED
TH_022245,Gamma_Hybrid,LONG,2025-05-02 22:45:00,173.56,2025-05-03 16:30:00,171.31,-0.01296381654759161,SL_ATR_DYNAMIC,RSI_Reversal,183.62,171.40642857142856,175.06,CLOSED
TH_031745,Gamma_Hybrid,LONG,2025-05-03 17:45:00,171.6,2025-05-03 21:15:00,178.95,0.0428321678321678,TP_FIBONACCI_EXT,RSI_Reversal,178.46,168.63642857142855,178.95,CLOSED
TH_032245,Gamma_Hybrid,SHORT,2025-05-03 22:45:00,179.15,2025-05-06 14:00:00,165.73,0.0749092938878036,TRAILING_STOP_SMART,RSI_Reversal,162.17,183.47642857142858,163.72,CLOSED
TH_070515,Gamma_Hybrid,LONG,2025-05-07 05:15:00,173.83,2025-05-07 13:00:00,170.51,-0.019099119829718812,SL_ATR_DYNAMIC,RSI_Reversal,190.39,170.6264285714286,175.33,CLOSED
TH_080415,Gamma_Hybrid,SHORT,2025-05-08 04:15:00,186.12,2025-05-08 15:15:00,192.05,-0.03186116483988828,SL_ATR_DYNAMIC,RSI_Reversal,162.21,191.75785714285715,182.86,CLOSED
TH_082130,Gamma_Hybrid,SHORT,2025-05-08 21:30:00,202.95,2025-05-09 07:30:00,212.99,-0.04947031288494713,SL_ATR_DYNAMIC,RSI_Reversal,141.83,212.8435714285714,202.18,CLOSED
TH_090745,Gamma_Hybrid,SHORT,2025-05-09 07:45:00,212.04,2025-05-10 07:45:00,218.34,-0.029711375212224164,SL_ATR_DYNAMIC,RSI_Reversal,141.83,217.6242857142857,206.13,CLOSED
TH_100845,Gamma_Hybrid,SHORT,2025-05-10 08:45:00,218.85,2025-05-10 17:15:00,226.32,-0.0341329677861549,SL_ATR_DYNAMIC,RSI_Reversal,197.6,226.30714285714285,215.74,CLOSED
TH_130300,Gamma_Hybrid,LONG,2025-05-13 03:00:00,214.45,2025-05-13 19:15:00,235.08,0.09619958032175344,TP_FIBONACCI_EXT,RSI_Reversal,234.3,208.17142857142858,235.08,CLOSED
TH_131945,Gamma_Hybrid,SHORT,2025-05-13 19:45:00,235.13,2025-05-16 09:15:00,242.91,-0.033088078935057205,SL_ATR_DYNAMIC,RSI_Reversal,192.98,242.05142857142857,218.0,CLOSED
TH_161445,Gamma_Hybrid,LONG,2025-05-16 14:45:00,234.32,2025-05-17 00:30:00,227.26,-0.03012973711164221,SL_ATR_DYNAMIC,RSI_Reversal,261.16,228.23642857142858,235.7,CLOSED
TH_180730,Gamma_Hybrid,SHORT,2025-05-18 07:30:00,225.92,2025-05-18 13:45:00,230.4,-0.01983002832861198,SL_ATR_DYNAMIC,RSI_Reversal,216.04,230.23142857142858,224.47,CLOSED
TH_181700,Gamma_Hybrid,SHORT,2025-05-18 17:00:00,241.35,2025-05-19 06:00:00,217.5,0.09881914232442508,TRAILING_STOP_SMART,RSI_Reversal,211.93,248.64428571428573,213.68,CLOSED
TH_191030,Gamma_Hybrid,SHORT,2025-05-19 10:30:00,221.24,2025-05-19 15:00:00,227.28,-0.02730066895678897,SL_ATR_DYNAMIC,RSI_Reversal,197.75,226.98285714285714,218.77,CLOSED
TH_191600,Gamma_Hybrid,SHORT,2025-05-19 16:00:00,227.53,2025-05-19 17:00:00,235.73,-0.03603920362150041,SL_ATR_DYNAMIC,RSI_Reversal,197.75,234.0507142857143,227.53,CLOSED
TH_191730,Gamma_Hybrid,SHORT,2025-05-19 17:30:00,236.7,2025-05-19 23:30:00,248.37,-0.04930291508238283,SL_ATR_DYNAMIC,RSI_Reversal,197.75,244.53642857142856,234.53,CLOSED
