Trade_ID,Strategy,Side,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Pct,Exit_Reason,SL,Peak_Price,status,Rem_Qty,TP1_Hit,TP2_Hit
FL_0734,Flash_Reversal,LONG,2025-04-10 07:34:00,137.63,2025-04-10 07:53:00,137.85,0.0015984887015912147,SL_HIT,137.89350000000002,138.35,CLOSED,0.2,True,True
FL_1230,Flash_Reversal,SHORT,2025-04-10 12:30:00,139.85,2025-04-10 13:17:00,136.69,0.0225956381837683,SL_HIT,136.65989999999996,135.98,CLOSED,0.2,True,True
FL_1339,Flash_Reversal,SHORT,2025-04-11 13:39:00,136.49,2025-04-11 13:59:00,136.15,0.0024910249835153006,SL_HIT,136.07999999999998,135.76,CLOSED,0.2,True,True
FL_0810,Flash_Reversal,SHORT,2025-04-12 08:10:00,139.23,2025-04-12 08:29:00,139.24,-7.182360123550476e-05,SL_HIT,139.23,139.23,CLOSED,0.4,True,False
FL_1939,Flash_Reversal,LONG,2025-04-13 19:39:00,139.9,2025-04-13 19:56:00,139.85,-0.0003573981415297453,SL_HIT,139.9,139.9,CLOSED,0.4,True,False
FL_0022,Flash_Reversal,SHORT,2025-04-14 00:22:00,142.46,2025-04-14 01:15:00,141.76,0.004913659974729868,SL_HIT,141.5643,140.86,CLOSED,0.2,True,True
FL_0229,Flash_Reversal,SHORT,2025-04-14 02:29:00,144.18,2025-04-14 02:42:00,144.34,-0.00110972395616588,SL_HIT,144.18,144.18,CLOSED,0.4,True,False
FL_1538,Flash_Reversal,LONG,2025-04-14 15:38:00,140.49,2025-04-14 16:03:00,138.99,-0.010676916506512918,SL_HIT,140.49,140.49,CLOSED,0.4,True,False
FL_1420,Flash_Reversal,LONG,2025-04-15 14:20:00,137.16,2025-04-15 14:39:00,137.13,-0.00021872265966754986,SL_HIT,137.16,137.16,CLOSED,0.4,True,False
FL_1750,Flash_Reversal,LONG,2025-04-16 17:50:00,131.41,2025-04-16 18:07:00,131.3,-0.0008370748040482857,SL_HIT,131.41,131.41,CLOSED,0.4,True,False
FL_1949,Flash_Reversal,SHORT,2025-04-16 19:49:00,134.48,2025-04-16 20:25:00,135.95,-0.010930993456276019,SL_HIT,134.48,134.48,CLOSED,0.4,True,False
FL_0028,Flash_Reversal,SHORT,2025-04-21 00:28:00,143.88,2025-04-21 00:39:00,143.99,-0.0007645259938838869,SL_HIT,143.88,143.88,CLOSED,0.4,True,False
