Trade_ID,Side,Entry_Time,PnL_Pct,Wait_Time_Min,Exit_Reason,Max_Drawdown
TRD_202509030604_DIR,LONG,2025-09-03 06:04:00,1.57,0.0,TRAILING_WIN,-0.99
TRD_202509031310_DIR,SHORT,2025-09-03 13:10:00,-2.5,0.0,STOP_LOSS,-2.81
TRD_202509040055_DIR,LONG,2025-09-04 00:55:00,-2.5,0.0,STOP_LOSS,-1.42
TRD_202509040621_DIR,LONG,2025-09-04 06:21:00,-2.5,0.0,STOP_LOSS,-4.02
TRD_202509041530_DIR,LONG,2025-09-04 15:30:00,-2.5,0.0,STOP_LOSS,-3.04
TRD_202509051426_DIR,LONG,2025-09-05 14:26:00,-2.5,0.0,STOP_LOSS,-3.05
TRD_202509072114_DIR,SHORT,2025-09-07 21:14:00,-2.5,0.0,STOP_LOSS,-3.77
TRD_202509090720_DIR,SHORT,2025-09-09 07:20:00,1.4,0.0,TRAILING_WIN,-1.16
TRD_202509090721,SHORT,2025-09-09 07:21:00,1.4,2.0,TRAILING_WIN,-1.16
TRD_202509091435_DIR,LONG,2025-09-09 14:35:00,0.68,0.0,TRAILING_WIN,-3.26
TRD_202509101406_DIR,SHORT,2025-09-10 14:06:00,-2.5,0.0,STOP_LOSS,-2.27
TRD_202509101905_DIR,LONG,2025-09-10 19:05:00,5.28,0.0,TRAILING_WIN,-6.31
TRD_202509101920_DIR,LONG,2025-09-10 19:20:00,9.34,0.0,TRAILING_WIN,-7.95
TRD_202509110348_DIR,SHORT,2025-09-11 03:48:00,-2.5,0.0,STOP_LOSS,-4.12
TRD_202509120544_DIR,SHORT,2025-09-12 05:44:00,0.53,0.0,TRAILING_WIN,-0.95
TRD_202509121710_DIR,SHORT,2025-09-12 17:10:00,0.57,0.0,TRAILING_WIN,-3.14
TRD_202509140050_DIR,LONG,2025-09-14 00:50:00,-2.5,0.0,STOP_LOSS,-3.13
TRD_202509141321_DIR,LONG,2025-09-14 13:21:00,-2.5,0.0,STOP_LOSS,-3.92
TRD_202509151534_DIR,LONG,2025-09-15 15:34:00,-2.5,0.0,STOP_LOSS,-2.27
TRD_202509161345_DIR,LONG,2025-09-16 13:45:00,1.43,0.0,TRAILING_WIN,-1.9
TRD_202509162058_DIR,SHORT,2025-09-16 20:58:00,1.07,0.0,TRAILING_WIN,-1.15
TRD_202509171335_DIR,LONG,2025-09-17 13:35:00,1.16,0.0,TRAILING_WIN,-2.34
TRD_202509172145_DIR,SHORT,2025-09-17 21:45:00,-2.5,0.0,STOP_LOSS,-2.64
TRD_202509180310_DIR,SHORT,2025-09-18 03:10:00,0.95,0.0,TRAILING_WIN,-1.2
TRD_202509181400_DIR,SHORT,2025-09-18 14:00:00,0.97,0.0,TRAILING_WIN,-2.0
TRD_202509190605_DIR,LONG,2025-09-19 06:05:00,-2.5,0.0,STOP_LOSS,-3.65
TRD_202509192315_DIR,LONG,2025-09-19 23:15:00,-2.5,0.0,STOP_LOSS,-2.6
