Fecha,Estrategia,Side,RSI,SAI_Score,SAI_Level,Accion
1970-01-01 00:29:05.783100,SCALPING_GAMMA,SHORT,89.79591836734741,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:05.799600,SCALPING_GAMMA,LONG,24.31077694235597,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.808600,SCALPING_GAMMA,LONG,41.58415841584154,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.823900,SCALPING_GAMMA,SHORT,71.54471544715416,80,CRITICAL,BLOQUEADA_SAI_CRITICO
1970-01-01 00:29:05.856000,SCALPING_GAMMA,LONG,25.710419485791636,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.874000,SCALPING_GAMMA,LONG,22.862823061630195,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.902500,SCALPING_GAMMA,LONG,17.587939698491766,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.959200,SCALPING_GAMMA,LONG,30.86816720257211,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.968800,SCALPING_GAMMA,LONG,18.48341232227449,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:05.999700,SCALPING_GAMMA,LONG,19.485294117647115,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:06.017700,SCALPING_GAMMA,LONG,22.59970457902486,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:06.019200,SCALPING_GAMMA,LONG,17.730496453900486,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:06.034500,SCALPING_GAMMA,SHORT,81.1403508771932,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:06.045900,SCALPING_GAMMA,SHORT,73.99577167019044,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:06.062100,SCALPING_GAMMA,SHORT,75.10729613733912,55,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:06.078900,SCALPING_GAMMA,SHORT,76.39344262295073,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:06.082800,SCALPING_GAMMA,LONG,29.259259259259096,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:06.675900,SCALPING_GAMMA,LONG,22.38805970149285,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:07.941000,SCALPING_GAMMA,SHORT,96.3653308480896,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.004000,SCALPING_GAMMA,LONG,13.840830449827038,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.008800,SCALPING_GAMMA,SHORT,100.0,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.034900,SCALPING_GAMMA,LONG,28.24791418355196,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.066100,SCALPING_GAMMA,SHORT,82.23028105167705,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.118000,SCALPING_GAMMA,LONG,8.909090909090608,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.245800,SCALPING_GAMMA,LONG,20.046216060080766,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.275500,SCALPING_GAMMA,LONG,53.793103448276206,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.283000,SCALPING_GAMMA,SHORT,97.84946236559324,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.337300,SCALPING_GAMMA,SHORT,82.7368421052633,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.379300,SCALPING_GAMMA,LONG,74.8939179632249,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.386500,SCALPING_GAMMA,LONG,25.70462232243501,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.397300,SCALPING_GAMMA,SHORT,84.2209072978309,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.411400,SCALPING_GAMMA,SHORT,79.63800904977408,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:08.587800,SCALPING_GAMMA,LONG,18.20809248554903,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.648100,SCALPING_GAMMA,LONG,0.0,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.693400,SCALPING_GAMMA,LONG,13.02395209580844,20,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.742000,SCALPING_GAMMA,LONG,9.259259259261,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:08.804400,SCALPING_GAMMA,LONG,22.016936104695844,45,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:09.014400,SCALPING_GAMMA,LONG,17.991631799163144,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:09.049200,SCALPING_GAMMA,LONG,15.183387270765891,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:09.064500,SCALPING_GAMMA,SHORT,90.2061855670104,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:09.107100,SCALPING_GAMMA,SHORT,91.99561403508773,60,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:09.151200,SCALPING_GAMMA,SHORT,89.95524614619588,35,CAUTION,ENTRADA_REDUCIDA_CAUTION
1970-01-01 00:29:09.156300,SCALPING_GAMMA,LONG,14.018191546281455,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:09.187500,SCALPING_GAMMA,LONG,23.71910789632309,0,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:09.269700,SCALPING_GAMMA,LONG,100.0,25,SAFE,ENTRADA_ESTANDAR
1970-01-01 00:29:09.340200,SCALPING_GAMMA,LONG,14.94149414941515,25,SAFE,ENTRADA_ESTANDAR
