Date,Type,Side,PnL_Pct,Reason,Capital
2025-09-13 11:00:00,REV,SHORT,0.58,TP_MEAN,563.01
2025-09-13 13:45:00,REV,SHORT,0.56,TP_MEAN,566.19
2025-09-13 17:00:00,REV,LONG,-1.18,SL_HIT,559.49
2025-09-14 01:00:00,REV,LONG,-0.43,SL_HIT,557.11
2025-09-14 11:30:00,REV,LONG,-0.56,SL_HIT,553.96
2025-09-14 14:30:00,REV,LONG,-1.14,SL_HIT,547.62
2025-09-14 20:45:00,REV,SHORT,-0.31,TIME_STOP,545.91
2025-09-15 01:30:00,REV,LONG,0.79,TP_MEAN,550.25
2025-09-15 06:30:00,REV,SHORT,0.18,TP_MEAN,551.23
2025-09-15 08:00:00,REV,LONG,-0.98,SL_HIT,545.85
2025-09-15 17:45:00,REV,LONG,0.23,TP_MEAN,547.08
2025-09-15 22:00:00,REV,SHORT,-0.64,SL_HIT,543.6
2025-09-16 02:45:00,REV,LONG,-0.49,SL_HIT,540.93
2025-09-16 06:15:00,REV,LONG,0.18,TP_MEAN,541.92
