Strategy,Side,PnL,Time,Reason
TREND,LONG,0.53,2025-10-24 12:30:00,SL_TRAIL
TREND,LONG,-0.97,2025-10-24 13:30:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-24 14:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-24 14:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-24 15:45:00,SL_HIT
TREND,LONG,-0.22,2025-10-25 00:15:00,SL_TRAIL
TREND,LONG,-0.62,2025-10-25 03:45:00,SL_TRAIL
TREND,LONG,-0.63,2025-10-25 10:00:00,SL_TRAIL
TREND,LONG,-0.37,2025-10-25 13:30:00,SL_TRAIL
TREND,LONG,-0.53,2025-10-25 16:00:00,SL_TRAIL
TREND,LONG,-0.4,2025-10-25 21:30:00,SL_TRAIL
TREND,LONG,-0.44,2025-10-26 00:00:00,SL_TRAIL
TREND,SHORT,-0.38,2025-10-26 04:15:00,SL_TRAIL
TREND,SHORT,-0.6,2025-10-26 05:30:00,SL_TRAIL
TREND,LONG,0.86,2025-10-26 09:15:00,SL_TRAIL
SWING,LONG,3.0,2025-10-26 11:15:00,TP_HIT
TREND,LONG,0.74,2025-10-26 11:30:00,SL_TRAIL
SWING,LONG,3.0,2025-10-26 11:30:00,TP_HIT
SWING,LONG,3.0,2025-10-26 11:30:00,TP_HIT
TREND,LONG,0.65,2025-10-26 13:30:00,SL_TRAIL
TREND,LONG,-1.37,2025-10-26 15:00:00,SL_TRAIL
TREND,LONG,-0.22,2025-10-26 20:15:00,SL_TRAIL
TREND,LONG,-0.42,2025-10-26 21:15:00,SL_TRAIL
TREND,LONG,0.95,2025-10-26 22:00:00,SL_TRAIL
SWING,LONG,3.0,2025-10-27 02:00:00,TP_HIT
SWING,LONG,3.0,2025-10-27 02:00:00,TP_HIT
SWING,LONG,3.0,2025-10-27 02:00:00,TP_HIT
TREND,LONG,2.43,2025-10-27 05:45:00,SL_TRAIL
TREND,LONG,-1.03,2025-10-27 07:30:00,SL_TRAIL
TREND,LONG,-0.97,2025-10-27 08:15:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-27 11:15:00,SL_HIT
SWING,LONG,-2.0,2025-10-27 13:30:00,SL_HIT
SWING,LONG,-2.0,2025-10-27 13:30:00,SL_HIT
TREND,LONG,-0.45,2025-10-27 19:30:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-28 05:45:00,SL_HIT
TREND,LONG,-1.03,2025-10-28 10:15:00,SL_TRAIL
TREND,SHORT,-0.37,2025-10-28 12:45:00,SL_TRAIL
TREND,SHORT,-0.01,2025-10-28 14:30:00,SL_TRAIL
SWING,LONG,-2.0,2025-10-28 14:30:00,SL_HIT
SWING,LONG,-2.0,2025-10-28 14:45:00,SL_HIT
TREND,SHORT,-1.28,2025-10-28 16:45:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-28 19:45:00,TP_HIT
SWING,LONG,-2.0,2025-10-28 20:15:00,SL_HIT
TREND,SHORT,1.96,2025-10-29 01:30:00,SL_TRAIL
TREND,SHORT,-0.15,2025-10-29 05:30:00,SL_TRAIL
TREND,SHORT,0.55,2025-10-29 10:30:00,SL_TRAIL
TREND,SHORT,-0.54,2025-10-29 11:00:00,SL_TRAIL
TREND,SHORT,-0.92,2025-10-29 11:30:00,SL_TRAIL
TREND,SHORT,-0.11,2025-10-29 17:30:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-29 18:30:00,TP_HIT
SWING,SHORT,3.0,2025-10-29 18:30:00,TP_HIT
SWING,SHORT,3.0,2025-10-29 18:30:00,TP_HIT
TREND,SHORT,-2.28,2025-10-29 18:45:00,SL_TRAIL
TREND,SHORT,-2.26,2025-10-29 20:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-29 23:30:00,TP_HIT
TREND,SHORT,-0.35,2025-10-30 02:15:00,SL_TRAIL
TREND,SHORT,0.81,2025-10-30 04:00:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-30 04:00:00,TP_HIT
TREND,SHORT,0.15,2025-10-30 04:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-30 04:15:00,TP_HIT
SWING,SHORT,3.0,2025-10-30 04:15:00,TP_HIT
TREND,SHORT,-1.51,2025-10-30 04:30:00,SL_TRAIL
TREND,SHORT,-1.43,2025-10-30 05:30:00,SL_TRAIL
SWING,SHORT,3.0,2025-10-30 11:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-30 11:45:00,TP_HIT
SWING,SHORT,3.0,2025-10-30 12:15:00,TP_HIT
TREND,SHORT,2.82,2025-10-30 12:30:00,SL_TRAIL
TREND,SHORT,2.94,2025-10-30 20:45:00,SL_TRAIL
TREND,SHORT,-1.4,2025-10-30 23:30:00,SL_TRAIL
TREND,SHORT,-1.19,2025-10-31 00:45:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-31 00:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-31 00:45:00,SL_HIT
SWING,SHORT,-2.0,2025-10-31 00:45:00,SL_HIT
TREND,SHORT,-0.79,2025-10-31 09:00:00,SL_TRAIL
TREND,SHORT,-0.88,2025-10-31 11:45:00,SL_TRAIL
TREND,SHORT,-1.13,2025-10-31 14:45:00,SL_TRAIL
TREND,SHORT,0.61,2025-10-31 18:30:00,SL_TRAIL
TREND,SHORT,-1.18,2025-10-31 19:30:00,SL_TRAIL
SWING,SHORT,-2.0,2025-10-31 19:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-31 19:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-31 19:30:00,SL_HIT
SWING,SHORT,-2.0,2025-10-31 19:45:00,SL_HIT
SWING,SHORT,3.0,2025-11-01 00:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-01 00:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-01 02:00:00,TP_HIT
TREND,LONG,-1.68,2025-11-01 04:15:00,SL_TRAIL
TREND,LONG,-0.93,2025-11-01 07:45:00,SL_TRAIL
TREND,LONG,-0.69,2025-11-01 11:30:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-01 14:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-01 14:00:00,SL_HIT
TREND,LONG,-0.51,2025-11-01 21:00:00,SL_TRAIL
TREND,SHORT,-0.36,2025-11-02 01:30:00,SL_TRAIL
TREND,SHORT,-0.65,2025-11-02 02:30:00,SL_TRAIL
TREND,SHORT,-0.36,2025-11-02 04:30:00,SL_TRAIL
TREND,LONG,-0.27,2025-11-02 08:45:00,SL_TRAIL
TREND,LONG,-0.45,2025-11-02 09:30:00,SL_TRAIL
SWING,LONG,-2.0,2025-11-02 10:15:00,SL_HIT
TREND,LONG,-0.93,2025-11-02 13:15:00,SL_TRAIL
TREND,SHORT,0.01,2025-11-02 16:15:00,SL_TRAIL
SWING,LONG,3.0,2025-11-02 16:15:00,TP_HIT
SWING,LONG,3.0,2025-11-02 16:15:00,TP_HIT
SWING,LONG,3.0,2025-11-02 16:15:00,TP_HIT
SWING,SHORT,-2.0,2025-11-02 16:30:00,SL_HIT
TREND,LONG,-1.64,2025-11-02 22:30:00,SL_TRAIL
TREND,LONG,0.14,2025-11-02 23:00:00,SL_TRAIL
SWING,LONG,3.0,2025-11-02 23:45:00,TP_HIT
TREND,LONG,0.52,2025-11-03 01:15:00,SL_TRAIL
TREND,LONG,-1.64,2025-11-03 02:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-03 02:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-03 02:30:00,TP_HIT
SWING,LONG,-2.0,2025-11-03 03:15:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 03:15:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 03:45:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 04:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 05:45:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 06:00:00,SL_HIT
SWING,LONG,-2.0,2025-11-03 06:30:00,SL_HIT
TREND,SHORT,1.36,2025-11-03 09:00:00,SL_TRAIL
TREND,SHORT,0.51,2025-11-03 11:30:00,SL_TRAIL
TREND,SHORT,3.08,2025-11-03 15:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-03 15:15:00,TP_HIT
SWING,SHORT,3.0,2025-11-03 15:15:00,TP_HIT
SWING,SHORT,3.0,2025-11-03 15:15:00,TP_HIT
TREND,SHORT,-1.11,2025-11-03 17:15:00,SL_TRAIL
TREND,SHORT,1.3,2025-11-04 00:30:00,SL_TRAIL
TREND,SHORT,-1.26,2025-11-04 03:15:00,SL_TRAIL
TREND,SHORT,0.98,2025-11-04 05:15:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-04 05:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-04 05:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-04 05:30:00,TP_HIT
TREND,SHORT,0.38,2025-11-04 06:00:00,SL_TRAIL
TREND,SHORT,-0.01,2025-11-04 11:00:00,SL_TRAIL
TREND,SHORT,0.29,2025-11-04 14:30:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-04 14:45:00,SL_HIT
SWING,SHORT,-2.0,2025-11-04 14:45:00,SL_HIT
SWING,SHORT,-2.0,2025-11-04 14:45:00,SL_HIT
SWING,SHORT,3.0,2025-11-04 16:30:00,TP_HIT
SWING,SHORT,3.0,2025-11-04 16:45:00,TP_HIT
SWING,SHORT,3.0,2025-11-04 16:45:00,TP_HIT
TREND,SHORT,6.49,2025-11-04 22:00:00,SL_TRAIL
SWING,SHORT,3.0,2025-11-05 01:30:00,TP_HIT
TREND,SHORT,1.87,2025-11-05 01:45:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-05 02:00:00,SL_HIT
TREND,SHORT,-2.6,2025-11-05 02:15:00,SL_TRAIL
SWING,SHORT,-2.0,2025-11-05 02:45:00,SL_HIT
SWING,SHORT,-2.0,2025-11-05 05:00:00,SL_HIT
SWING,SHORT,-2.0,2025-11-05 05:00:00,SL_HIT
SWING,SHORT,3.0,2025-11-05 08:15:00,TP_HIT
SWING,SHORT,3.0,2025-11-05 08:15:00,TP_HIT
TREND,SHORT,-1.69,2025-11-05 11:45:00,SL_TRAIL
