Trade_ID,Strategy,Mode,Side,Entry_Time,Entry_Price,status,Is_Risk_Free,Peak_Price,Rem_Qty,TP1_Hit,TP2_Hit,SL,Fibo_Target,Exit_Price,Exit_Time,Exit_Reason,PnL_Pct
G_170230,GAMMA,GAMMA_HEDGE,LONG,2025-01-17 02:30:00,320.2,CLOSED,True,325.65,1.0,False,False,324.049,334.609,322.47,2025-01-17 08:15:00,SL_HIT,0.0070893191755154236
S_160200,SWING,SWING_NORMAL,SHORT,2025-01-16 02:00:00,314.52,CLOSED,False,306.4,1.0,False,False,333.39119999999997,276.7776,333.81,2025-01-17 20:30:00,SL_HIT,-0.061331552842426626
G_180600,GAMMA,GAMMA_HEDGE,SHORT,2025-01-18 06:00:00,316.95,CLOSED,True,311.87,1.0,False,False,313.45475,302.68724999999995,314.08,2025-01-18 08:45:00,SL_HIT,0.009055056002524072
G_180615,GAMMA,GAMMA_HEDGE,SHORT,2025-01-18 06:15:00,317.75,CLOSED,True,311.87,1.0,False,False,313.45875,303.45124999999996,314.08,2025-01-18 08:45:00,SL_HIT,0.011549960660896981
G_190930,GAMMA,GAMMA_HEDGE,SHORT,2025-01-19 09:30:00,301.51,CLOSED,True,294.41,1.0,False,False,295.91755,287.94205,298.68,2025-01-19 12:00:00,SL_HIT,0.00938609001359817
G_191515,GAMMA,GAMMA_HEDGE,LONG,2025-01-19 15:15:00,328.89,CLOSED,True,345.4,1.0,False,False,341.97555,343.69005,345.4,2025-01-19 17:15:00,TP_FULL,0.050199154732585335
G_192330,GAMMA,GAMMA_HEDGE,SHORT,2025-01-19 23:30:00,310.04,CLOSED,True,299.3,1.0,False,False,300.85020000000003,296.08820000000003,302.3,2025-01-20 01:00:00,SL_HIT,0.024964520707005576
G_200100,GAMMA,GAMMA_HEDGE,SHORT,2025-01-20 01:00:00,302.3,CLOSED,False,299.62,1.0,False,False,306.8345,288.6965,312.11,2025-01-20 02:15:00,SL_HIT,-0.03245120740985776
G_200730,GAMMA,GAMMA_HEDGE,LONG,2025-01-20 07:30:00,352.51,CLOSED,True,362.16,1.0,False,False,360.39745000000005,368.37294999999995,357.78,2025-01-20 08:15:00,SL_HIT,0.014949930498425525
G_200815,GAMMA,GAMMA_HEDGE,LONG,2025-01-20 08:15:00,357.78,CLOSED,False,357.78,1.0,False,False,352.4133,373.88009999999997,346.2,2025-01-20 09:15:00,SL_HIT,-0.032366258594667074
S_201300,SWING,SWING_HEDGE,LONG,2025-01-20 13:00:00,348.99,CLOSED,False,352.58,1.0,False,False,338.5203,390.8688,338.18,2025-01-20 17:00:00,SL_HIT,-0.030975099573053676
G_202115,GAMMA,GAMMA_HEDGE,LONG,2025-01-20 21:15:00,348.8,CLOSED,False,348.8,1.0,False,False,343.568,364.496,341.75,2025-01-20 21:45:00,SL_HIT,-0.020212155963302784
G_220745,GAMMA,GAMMA_HEDGE,SHORT,2025-01-22 07:45:00,356.91,CLOSED,False,355.42,1.0,False,False,362.26365,340.84905000000003,362.9,2025-01-22 09:30:00,SL_HIT,-0.016782942478495846
G_230215,GAMMA,GAMMA_HEDGE,SHORT,2025-01-23 02:15:00,337.3,CLOSED,True,331.42,1.0,False,False,333.10650000000004,322.12149999999997,336.26,2025-01-23 11:00:00,SL_HIT,0.0030833086273347773
G_240300,GAMMA,GAMMA_HEDGE,SHORT,2025-01-24 03:00:00,330.68,CLOSED,False,330.68,1.0,False,False,335.6402,315.7994,337.06,2025-01-24 04:45:00,SL_HIT,-0.019293576871900312
G_240600,GAMMA,GAMMA_HEDGE,LONG,2025-01-24 06:00:00,346.29,CLOSED,True,353.53,1.0,False,False,351.79855,361.87305,349.39,2025-01-24 07:15:00,SL_HIT,0.00895203442201613
G_242215,GAMMA,GAMMA_HEDGE,SHORT,2025-01-24 22:15:00,338.64,CLOSED,True,331.17,1.0,False,False,332.8632,323.40119999999996,333.03,2025-01-25 01:00:00,SL_HIT,0.016566265060241003
G_242345,GAMMA,GAMMA_HEDGE,SHORT,2025-01-24 23:45:00,334.97,CLOSED,True,329.49,1.0,False,False,331.16485,319.89635000000004,331.84,2025-01-25 10:45:00,SL_HIT,0.009344120368988422
G_270300,GAMMA,GAMMA_HEDGE,SHORT,2025-01-27 03:00:00,304.94,CLOSED,True,288.69,1.0,False,False,297.3947,291.2177,288.69,2025-01-27 07:15:00,TP_FULL,0.05328917164032269
G_280530,GAMMA,GAMMA_HEDGE,LONG,2025-01-28 05:30:00,305.75,CLOSED,False,305.75,1.0,False,False,301.16375,319.50874999999996,299.99,2025-01-28 06:30:00,SL_HIT,-0.01883892068683562
G_280830,GAMMA,GAMMA_HEDGE,SHORT,2025-01-28 08:30:00,300.24,CLOSED,True,295.92,1.0,False,False,297.4212,286.7292,298.17,2025-01-28 13:00:00,SL_HIT,0.006894484412470001
G_281915,GAMMA,GAMMA_HEDGE,SHORT,2025-01-28 19:15:00,289.84,CLOSED,True,285.3,1.0,False,False,286.74920000000003,276.7972,288.27,2025-01-28 21:00:00,SL_HIT,0.0054167816726469545
G_290700,GAMMA,GAMMA_HEDGE,LONG,2025-01-29 07:00:00,297.87,CLOSED,False,300.45,1.0,False,False,293.40195,311.27414999999996,293.09,2025-01-29 12:45:00,SL_HIT,-0.016047268942827507
G_300400,GAMMA,GAMMA_HEDGE,LONG,2025-01-30 04:00:00,299.18,CLOSED,True,304.97,1.0,False,False,303.4741,312.6431,302.61,2025-01-30 06:45:00,SL_HIT,0.011464670098268624
G_311315,GAMMA,GAMMA_HEDGE,LONG,2025-01-31 13:15:00,328.57,CLOSED,True,343.99,1.0,False,False,336.72715,343.35564999999997,343.99,2025-01-31 16:00:00,TP_FULL,0.04693063882886452
G_011145,GAMMA,GAMMA_HEDGE,SHORT,2025-02-01 11:45:00,314.95,CLOSED,True,304.47,1.0,False,False,306.04475,300.77725,306.34,2025-02-01 20:30:00,SL_HIT,0.02733767264645186
G_020400,GAMMA,GAMMA_HEDGE,SHORT,2025-02-02 04:00:00,290.96,CLOSED,False,290.82,1.0,False,False,295.32439999999997,277.86679999999996,295.72,2025-02-02 05:30:00,SL_HIT,-0.01635963706351405
S_132300,SWING,SWING_HEDGE,LONG,2025-01-13 23:00:00,289.57,CLOSED,False,376.73,1.0,False,False,280.8829,324.3184,280.76,2025-02-02 16:15:00,SL_HIT,-0.030424422419449537
G_030200,GAMMA,GAMMA_HEDGE,SHORT,2025-02-03 02:00:00,219.12,CLOSED,False,217.42,1.0,False,False,222.40679999999998,209.2596,225.56,2025-02-03 03:00:00,SL_HIT,-0.029390288426432994
G_030330,GAMMA,GAMMA_HEDGE,SHORT,2025-02-03 03:30:00,227.26,CLOSED,True,222.29,1.0,False,False,223.4263,217.03329999999997,223.67,2025-02-03 05:00:00,SL_HIT,0.015796884625539045
G_030800,GAMMA,GAMMA_HEDGE,LONG,2025-02-03 08:00:00,242.54,CLOSED,False,242.54,1.0,False,False,238.90189999999998,253.45429999999996,237.77,2025-02-03 08:15:00,SL_HIT,-0.019666859074791713
G_030815,GAMMA,GAMMA_HEDGE,LONG,2025-02-03 08:15:00,237.77,CLOSED,True,242.38,1.0,False,False,241.19115,248.46965,239.63,2025-02-03 09:15:00,SL_HIT,0.007822685788787422
S_022000,SWING,SWING_HEDGE,SHORT,2025-02-02 20:00:00,266.0,CLOSED,False,217.37,1.0,False,False,273.98,234.08,275.05,2025-02-03 19:30:00,SL_HIT,-0.03402255639097749
