2025-12-20 01:30:13,794 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 01:30:14,911 | INFO | [MAIN] ✅ Sistema sincronizado y listo para operar.
2025-12-20 01:30:14,912 | INFO | [MAIN] --- BUCLE PRINCIPAL INICIADO ---
2025-12-20 01:32:18,603 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:32:19,371 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:32:19,383 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:35:22,363 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:35:23,126 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+3 velas)
2025-12-20 01:35:23,144 | INFO | [DATA_MINER] 🔄 Procesando cascada de temporalidades...
2025-12-20 01:37:15,233 | INFO | [MAIN] 🛑 Detención manual por usuario.
2025-12-20 01:37:55,900 | INFO | [MAIN] 🤖 INICIANDO SENTINEL PRO (V12.0 REFINED)...
2025-12-20 01:37:55,900 | INFO | [API_MANAGER] 📡 Conectando con Binance Futures (REAL)...
2025-12-20 01:37:57,075 | INFO | [API_MANAGER] ⚠️ Ajuste de reloj: 1098ms
2025-12-20 01:37:58,552 | INFO | [API_MANAGER] ✅ Conexión Establecida y Cuenta Validada (HEDGE/ISOLATED).
2025-12-20 01:37:58,554 | INFO | [TELEGRAM] 🚀 Servicio de mensajería iniciado en segundo plano.
2025-12-20 01:37:58,554 | INFO | [MAIN] --- FASE DE SINCRONIZACIÓN INICIAL ---
2025-12-20 01:37:59,262 | INFO | [TELEGRAM] 👂 Escuchando comandos...
2025-12-20 01:37:59,603 | INFO | [MAIN] ✅ Sistema listo.
2025-12-20 01:37:59,604 | INFO | [MAIN] --- BUCLE PRINCIPAL ---
2025-12-20 01:38:00,200 | INFO | [DATA_MINER] 📥 Descargando 1m | Modo: INCREMENTAL (Gap Fill)
2025-12-20 01:38:01,368 | INFO | [DATA_MINER] ✅ Sincronización finalizada. (+2 velas)
